id,peakid,geneSymbol,peakpos,peakscore,peaknumexon,peakexlength,factor_relpeakpos,exp
iduc002dbt.1,iduc002dbt.1_2,GSPT1,385,3.217953356,1,583,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002dlz.1,iduc002dlz.1_1,PLK1,91,4.325770161,1,461,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002dtx.1,iduc002dtx.1_1,MAZ,258,3.488924332,1,360,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002eof.1,iduc002eof.1_1,GOT2,101,5.169925001,1,203,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002fcq.1,iduc002fcq.1_1,PSMD7,93,3.523791703,1,206,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002gby.1,iduc002gby.1_1,C1QBP,108,4.167692216,1,310,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002haz.1,iduc002haz.1_1,POLDIP2,104,3.048759312,1,208,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002hdz.1,iduc002hdz.1_3,TAOK1,3818,4.017116158,20,1924,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002hjq.1,iduc002hjq.1_1,AP2B1,117,3.534368711,1,166,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ihn.1,iduc002ihn.1_2,EFTUD2,3226,3.718582082,28,459,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ilt.1,iduc002ilt.1_1,KPNB1,143,4.928765095,1,376,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002jge.1,iduc002jge.1_3,BPTF,4287,3.154784135,13,2311,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ndu.1,iduc002ndu.1_2,AP1M1,2157,3.280585203,12,928,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002nvg.1,iduc002nvg.1_1,GPI,1815,3.127680538,18,431,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002oja.1,iduc002oja.1_2,ACTN4,2807,4.169486958,21,1257,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002rau.1,iduc002rau.1_1,PDIA6,111,4.358138347,1,157,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002sow.1,iduc002sow.1_1,TMSB10,328,3.786826296,3,287,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002xpm.1,iduc002xpm.1_1,UBE2C,96,3.804112578,1,181,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ylz.1,iduc002ylz.1_1,APP,125,4.293398513,1,251,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003apr.1,iduc003apr.1_1,EIF3D,142,5.396890153,1,155,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ekh.1,iduc003ekh.1_2,RUVBL1,1436,3.997166184,11,450,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ffe.2,iduc003ffe.2_1,GOLIM4,86,5.637378395,1,531,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003fsf.1,iduc003fsf.1_1,LEPREL1,373,3.955897936,1,678,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003hya.1,iduc003hya.1_1,NPNT,73,4.974635202,1,276,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003jff.1,iduc003jff.1_2,TRIO,7329,3.068315,48,797,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lam.1,iduc003lam.1_1,H2AFY,89,5.349554001,1,177,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lgq.1,iduc003lgq.1_1,IK,133,6.425593578,2,67,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lvp.1,iduc003lvp.1_5,LARP1,4392,3.368980861,19,3717,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ncd.1,iduc003ncd.1_1,NUP153,144,4.192457215,1,311,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nfw.1,iduc003nfw.1_1,HIST1H1C,76,3.292846905,1,732,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ngq.1,iduc003ngq.1_1,HIST1H1E,96,3.335179118,1,785,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nrm.1,iduc003nrm.1_1,FLOT1,96,3.000417628,1,150,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nwr.1,iduc003nwr.1_1,CLIC1,117,3.934556899,1,303,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003pit.1,iduc003pit.1_1,HMGN3,126,3.178913785,1,193,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003sly.1,iduc003sly.1_1,EIF3B,76,3.449765932,1,582,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003tyc.1,iduc003tyc.1_1,BAZ1B,71,4.594175288,1,452,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003uez.1,iduc003uez.1_1,YWHAG,78,3.113574147,1,278,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003wff.2,iduc003wff.2_1,PDIA4,106,3.646646132,1,370,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003xql.1,iduc003xql.1_1,MCM4,156,4.256507499,1,281,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003yjs.1,iduc003yjs.1_1,PABPC1,292,3.950580299,1,697,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zsd.1,iduc003zsd.1_1,DNAJA1,141,4.274261661,1,173,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zxq.1,iduc003zxq.1_1,TPM2,223,3.809860864,1,353,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zzy.1,iduc003zzy.1_1,POLR1E,1540,3.178775919,12,654,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc004bvl.2,iduc004bvl.2_1,SPTAN1,73,3.694245986,1,110,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc004dho.1,iduc004dho.1_1,PCTK1,2629,3.434103949,16,1265,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001aif.1,iduc001aif.1_1,GNB1,98,4.150967736,1,237,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bmv.1,iduc001bmv.1_2,ARID1A,650,3.522306893,1,1510,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bro.1,iduc001bro.1_1,SFRS4,1651,4.16995069,6,1376,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bys.1,iduc001bys.1_1,SFPQ,408,3.151376118,1,913,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001cxa.2,iduc001cxa.2_1,MRPL37,109,3.080264076,1,423,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001efk.1,iduc001efk.1_1,CSDE1,99,4.055605071,2,387,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ege.1,iduc001ege.1_1,ATP1A1,86,3.156504486,1,310,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001eyc.1,iduc001eyc.1_1,PSMB4,92,4.384973216,1,163,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ezn.1,iduc001ezn.1_1,S100A11,100,4.34791975,1,123,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fkg.1,iduc001fkg.1_1,FDPS,1207,3.648845865,10,257,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fmi.1,iduc001fmi.1_3,KIAA0907,2630,6.219100809,14,1276,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,iduc001fol.1_2,CCT3,1692,3.527969663,13,132,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,iduc001fol.1_1,CCT3,208,6.139725992,1,251,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,iduc001fol.1_3,CCT3,1936,4.922996061,14,343,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fvv.2,iduc001fvv.2_1,COPA,392,3.644668747,1,434,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fxu.1,iduc001fxu.1_1,PFDN2,110,3.941009974,1,125,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001gfr.1,iduc001gfr.1_1,ATP1B1,76,4.035042498,1,218,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hav.2,iduc001hav.2_1,PPP1R15B,70,3.031535573,1,2325,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,iduc001hkm.1_4,CENPF,4596,4.910428783,12,3404,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,iduc001hkm.1_1,CENPF,86,5.214474207,1,133,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,iduc001hkm.1_9,CENPF,9525,4.797969394,20,981,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hob.2,iduc001hob.2_1,CAPN2,201,3.77452353,1,461,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001igp.1,iduc001igp.1_1,PFKP,2374,3.100485753,22,355,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001iwe.2,iduc001iwe.2_1,KIF5B,121,5.009315255,1,596,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001jsm.1,iduc001jsm.1_1,PSAP,149,4.261530815,2,134,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001kuo.2,iduc001kuo.2_1,NOLC1,292,3.404641489,1,355,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ljb.2,iduc001ljb.2_2,BCCIP,933,5.068730699,7,452,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lke.1,iduc001lke.1_1,MKI67,95,4.064502366,1,293,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lyh.1,iduc001lyh.1_1,NUP98,199,4.919780107,1,263,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lyw.2,iduc001lyw.2_1,RRM1,213,5.865626051,1,338,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001mok.2,iduc001mok.2_1,LDHA,201,4.276625912,1,202,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nkx.1,iduc001nkx.1_1,ZDHHC5,303,3.060280229,2,1174,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nqf.1,iduc001nqf.1_1,PRPF19,79,3.541483864,1,221,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nrp.1,iduc001nrp.1_2,FLJ12529,2175,3.134878054,10,1976,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nyk.1,iduc001nyk.1_1,STIP1,148,3.867193263,1,156,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001odx.1,iduc001odx.1_1,MALAT1,510,6.603199254,2,7984,NA,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001oku.1,iduc001oku.1_2,PPP1CA,1386,3.015884922,7,465,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001onu.1,iduc001onu.1_1,SAPS3,4438,5.0437382,23,2268,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001pgs.1,iduc001pgs.1_1,YAP1,129,4.516621001,1,570,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ptq.1,iduc001ptq.1_1,ARCN1,95,3.870073413,1,155,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qft.1,iduc001qft.1_1,APLP2,72,4.078436993,1,177,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qjb.1,iduc001qjb.1_6,ERC1,6605,3.286483456,19,3439,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qpo.1,iduc001qpo.1_2,CHD4,6135,5.184799068,40,612,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001reh.1,iduc001reh.1_1,PDE3A,121,4.423768394,1,982,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001rpg.1,iduc001rpg.1_1,SLC38A2,72,5.384723801,1,256,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001shn.1,iduc001shn.1_1,CD63,169,3.150559677,1,174,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001slr.1,iduc001slr.1_1,ATP5B,162,4.918256851,1,232,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001svb.1,iduc001svb.1_1,CCT2,93,5.263016321,1,97,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001tkn.2,iduc001tkn.2_1,TXNRD1,389,3.69561823,4,110,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001tym.1,iduc001tym.1_1,DYNLL1,102,4.548626864,1,161,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001vtw.1,iduc001vtw.1_1,TFDP1,69,3.082500302,1,148,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001wii.1,iduc001wii.1_1,PSMB5,91,3.391389889,1,217,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001xtw.1,iduc001xtw.1_1,AHSA1,108,5.45597606,1,211,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001xue.2,iduc001xue.2_1,C14orf156,92,4.068027328,1,127,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001yno.1,iduc001yno.1_1,KLC1,99,6.884297735,1,307,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zkh.1,iduc001zkh.1_1,THBS1,82,4.303396235,1,150,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zll.1,iduc001zll.1_1,C15orf23,265,3.522678222,2,95,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zoh.1,iduc001zoh.1_2,MGA,1656,3.150559677,3,949,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zoh.1,iduc001zoh.1_9,MGA,9755,3.276198865,24,3940,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002abm.1,iduc002abm.1_1,TMOD3,67,5.673031389,1,145,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002all.1,iduc002all.1_1,TPM1,133,4.863097474,1,305,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002cni.2,iduc002cni.2_1,NDUFB10,119,3.129650349,1,239,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dbt.1,iduc002dbt.1_2,GSPT1,385,3.217953356,1,583,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dbt.1,iduc002dbt.1_4,GSPT1,2414,3.392448274,15,490,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dlz.1,iduc002dlz.1_1,PLK1,91,4.325770161,1,461,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dtx.1,iduc002dtx.1_1,MAZ,258,3.488924332,1,360,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ead.1,iduc002ead.1_1,SETD1A,93,3.601934173,1,671,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fcq.1,iduc002fcq.1_1,PSMD7,93,3.523791703,1,206,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fmx.1,iduc002fmx.1_6,ANKRD11,6639,4.168000125,9,6578,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fxz.2,iduc002fxz.2_1,MYBBP1A,139,3.327634792,1,260,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gbo.1,iduc002gbo.1_1,NUP88,81,4.387047015,1,323,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gby.1,iduc002gby.1_1,C1QBP,108,4.167692216,1,310,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gmr.2,iduc002gmr.2_1,SCO1,131,4.023255352,1,334,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hay.1,iduc002hay.1_2,TNFAIP1,1714,3.25139449,7,2644,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002haz.1,iduc002haz.1_1,POLDIP2,104,3.048759312,1,208,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hby.1,iduc002hby.1_2,SUPT6H,5514,4.285815737,37,793,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hdz.1,iduc002hdz.1_3,TAOK1,3818,4.017116158,20,1924,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hjq.1,iduc002hjq.1_1,AP2B1,117,3.534368711,1,166,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002htn.1,iduc002htn.1_1,PSMD3,88,3.540762697,1,384,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ihn.1,iduc002ihn.1_2,EFTUD2,3226,3.718582082,28,459,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ilt.1,iduc002ilt.1_1,KPNB1,143,4.928765095,1,376,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002jek.1,iduc002jek.1_1,DDX5,87,4.003002488,1,214,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002jwf.1,iduc002jwf.1_5,TIMP2,3505,3.287347863,5,2888,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002mcd.1,iduc002mcd.1_1,SAFB2,215,4.163143201,1,398,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002moy.1,iduc002moy.1_2,KRI1,2230,3.709214566,19,1197,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ndu.1,iduc002ndu.1_2,AP1M1,2157,3.280585203,12,928,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nhc.1,iduc002nhc.1_1,GLT25D1,73,3.642041375,1,272,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nvg.1,iduc002nvg.1_1,GPI,1815,3.127680538,18,431,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nvk.1,iduc002nvk.1_1,UBA2,2116,4.529975784,17,854,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002oja.1,iduc002oja.1_2,ACTN4,2807,4.169486958,21,1257,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002pmk.1,iduc002pmk.1_1,SNRNP70,1395,3.024656159,10,819,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002qfw.1,iduc002qfw.1_2,LENG8,2608,3.017921908,16,1251,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002rau.1,iduc002rau.1_1,PDIA6,111,4.358138347,1,157,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002rpd.1,iduc002rpd.1_2,CRIM1,2997,3.034923985,17,2611,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002siz.1,iduc002siz.1_1,CCT7,112,4.281477818,2,154,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002sow.1,iduc002sow.1_1,TMSB10,328,3.786826296,3,287,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002svm.2,iduc002svm.2_1,STARD7,321,5.469327838,1,691,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002uui.1,iduc002uui.1_1,HSPD1,110,8.290272333,1,135,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002vhd.1,iduc002vhd.1_1,ARPC2,1147,4.277845414,11,458,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002vrn.1,iduc002vrn.1_2,PSMD1,3107,3.277080695,25,225,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002waz.2,iduc002waz.2_2,HDLBP,4290,3.00135528,28,2424,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002wpr.1,iduc002wpr.1_1,DSTN,205,4.668378509,1,258,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002xpm.1,iduc002xpm.1_1,UBE2C,96,3.804112578,1,181,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ybx.1,iduc002ybx.1_1,PSMA7,103,4.056450137,1,211,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ylz.1,iduc002ylz.1_1,APP,125,4.293398513,1,251,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zir.1,iduc002zir.1_2,MCM3AP,471,3.573495715,1,1255,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zro.1,iduc002zro.1_1,RANBP1,92,5.113124102,1,164,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zsq.1,iduc002zsq.1_1,MED15,2441,3.650764559,17,1065,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003bav.1,iduc003bav.1_2,NHP2L1,1301,3.651869159,3,1263,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003bxv.1,iduc003bxv.1_3,NUP210,6925,4.216066783,40,1545,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003dtl.1,iduc003dtl.1_1,C3orf26,106,4.576224164,1,207,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ekr.1,iduc003ekr.1_1,RPN1,111,4.154732886,1,337,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ffe.2,iduc003ffe.2_1,GOLIM4,86,5.637378395,1,531,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ffe.2,iduc003ffe.2_2,GOLIM4,330,4.276964207,1,531,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003fnn.1,iduc003fnn.1_2,PSMD2,2828,3.528737321,21,345,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003fsf.1,iduc003fsf.1_1,LEPREL1,373,3.955897936,1,678,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003gqx.1,iduc003gqx.1_1,DHX15,120,5.39614807,1,239,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003hya.1,iduc003hya.1_1,NPNT,73,4.974635202,1,276,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jat.1,iduc003jat.1_1,PDCD6,107,4.084268917,1,201,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jdm.2,iduc003jdm.2_9,KIAA0947,5577,5.271761808,13,4791,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jeq.1,iduc003jeq.1_1,CCT5,219,3.556083966,1,276,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jff.1,iduc003jff.1_2,TRIO,7329,3.068315,48,797,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jkl.2,iduc003jkl.2_2,NIPBL,2151,4.154865418,10,1626,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003kyj.1,iduc003kyj.1_1,HSPA4,2739,4.663301548,19,785,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003llb.2,iduc003llb.2_1,DIAPH1,145,4.290109596,1,258,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003lum.1,iduc003lum.1_2,G3BP1,1797,5.659851215,12,1470,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
