id,geneSymbol,peakpos,peakscore,peaknumexon,peakexlength,factor_relpeakpos,exp
iduc002eof.1,GOT2,101.00,5.16,1.00,203.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002fcq.1,PSMD7,93.00,3.52,1.00,206.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002gby.1,C1QBP,108.00,4.16,1.00,310.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002haz.1,POLDIP2,104.00,3.04,1.00,208.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002hdz.1,TAOK1,3818.00,4.01,20.00,1924.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002hjq.1,AP2B1,117.00,3.53,1.00,166.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ihn.1,EFTUD2,3226.00,3.71,28.00,459.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ilt.1,KPNB1,143.00,4.92,1.00,376.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002jge.1,BPTF,4287.00,3.15,13.00,2311.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ndu.1,AP1M1,2157.00,3.28,12.00,928.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002nvg.1,GPI,1815.00,3.12,18.00,431.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002oja.1,ACTN4,2807.00,4.16,21.00,1257.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002rau.1,PDIA6,111.00,4.35,1.00,157.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002sow.1,TMSB10,328.00,3.78,3.00,287.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002xpm.1,UBE2C,96.00,3.80,1.00,181.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc002ylz.1,APP,125.00,4.29,1.00,251.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003apr.1,EIF3D,142.00,5.39,1.00,155.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ekh.1,RUVBL1,1436.00,3.99,11.00,450.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ffe.2,GOLIM4,86.00,5.63,1.00,531.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003fsf.1,LEPREL1,373.00,3.95,1.00,678.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003hya.1,NPNT,73.00,4.97,1.00,276.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003jff.1,TRIO,7329.00,3.06,48.00,797.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lam.1,H2AFY,89.00,5.34,1.00,177.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lgq.1,IK,133.00,6.42,2.00,67.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003lvp.1,LARP1,4392.00,3.36,19.00,3717.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ncd.1,NUP153,144.00,4.19,1.00,311.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nfw.1,HIST1H1C,76.00,3.29,1.00,732.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003ngq.1,HIST1H1E,96.00,3.33,1.00,785.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nrm.1,FLOT1,96.00,3.00,1.00,150.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003nwr.1,CLIC1,117.00,3.93,1.00,303.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003pit.1,HMGN3,126.00,3.17,1.00,193.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003sly.1,EIF3B,76.00,3.44,1.00,582.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003tyc.1,BAZ1B,71.00,4.59,1.00,452.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003uez.1,YWHAG,78.00,3.11,1.00,278.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003wff.2,PDIA4,106.00,3.64,1.00,370.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003xql.1,MCM4,156.00,4.25,1.00,281.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003yjs.1,PABPC1,292.00,3.95,1.00,697.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zsd.1,DNAJA1,141.00,4.27,1.00,173.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zxq.1,TPM2,223.00,3.80,1.00,353.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc003zzy.1,POLR1E,1540.00,3.17,12.00,654.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc004bvl.2,SPTAN1,73.00,3.69,1.00,110.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc004dho.1,PCTK1,2629.00,3.43,16.00,1265.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2HGF
iduc001aif.1,GNB1,98.00,4.15,1.00,237.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bmv.1,ARID1A,650.00,3.52,1.00,1510.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bro.1,SFRS4,1651.00,4.16,6.00,1376.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001bys.1,SFPQ,408.00,3.15,1.00,913.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001cxa.2,MRPL37,109.00,3.08,1.00,423.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001efk.1,CSDE1,99.00,4.05,2.00,387.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ege.1,ATP1A1,86.00,3.15,1.00,310.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001eyc.1,PSMB4,92.00,4.38,1.00,163.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ezn.1,S100A11,100.00,4.34,1.00,123.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fkg.1,FDPS,1207.00,3.64,10.00,257.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fmi.1,KIAA0907,2630.00,6.21,14.00,1276.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,CCT3,1692.00,3.52,13.00,132.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,CCT3,208.00,6.13,1.00,251.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fol.1,CCT3,1936.00,4.92,14.00,343.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fvv.2,COPA,392.00,3.64,1.00,434.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001fxu.1,PFDN2,110.00,3.94,1.00,125.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001gfr.1,ATP1B1,76.00,4.03,1.00,218.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hav.2,PPP1R15B,70.00,3.03,1.00,2325.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,CENPF,4596.00,4.91,12.00,3404.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,CENPF,86.00,5.21,1.00,133.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hkm.1,CENPF,9525.00,4.79,20.00,981.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001hob.2,CAPN2,201.00,3.77,1.00,461.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001igp.1,PFKP,2374.00,3.10,22.00,355.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001iwe.2,KIF5B,121.00,5.00,1.00,596.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001jsm.1,PSAP,149.00,4.26,2.00,134.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001kuo.2,NOLC1,292.00,3.40,1.00,355.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ljb.2,BCCIP,933.00,5.06,7.00,452.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lke.1,MKI67,95.00,4.06,1.00,293.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lyh.1,NUP98,199.00,4.91,1.00,263.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001lyw.2,RRM1,213.00,5.86,1.00,338.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001mok.2,LDHA,201.00,4.27,1.00,202.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nkx.1,ZDHHC5,303.00,3.06,2.00,1174.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nqf.1,PRPF19,79.00,3.54,1.00,221.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nrp.1,FLJ12529,2175.00,3.13,10.00,1976.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001nyk.1,STIP1,148.00,3.86,1.00,156.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001odx.1,MALAT1,510.00,6.60,2.00,7984.00,NA,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001oku.1,PPP1CA,1386.00,3.01,7.00,465.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001onu.1,SAPS3,4438.00,5.04,23.00,2268.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001pgs.1,YAP1,129.00,4.51,1.00,570.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001ptq.1,ARCN1,95.00,3.87,1.00,155.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qft.1,APLP2,72.00,4.07,1.00,177.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qjb.1,ERC1,6605.00,3.28,19.00,3439.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001qpo.1,CHD4,6135.00,5.18,40.00,612.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001reh.1,PDE3A,121.00,4.42,1.00,982.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001rpg.1,SLC38A2,72.00,5.38,1.00,256.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001shn.1,CD63,169.00,3.15,1.00,174.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001slr.1,ATP5B,162.00,4.91,1.00,232.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001svb.1,CCT2,93.00,5.26,1.00,97.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001tkn.2,TXNRD1,389.00,3.69,4.00,110.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001tym.1,DYNLL1,102.00,4.54,1.00,161.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001vtw.1,TFDP1,69.00,3.08,1.00,148.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001wii.1,PSMB5,91.00,3.39,1.00,217.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001xtw.1,AHSA1,108.00,5.45,1.00,211.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001xue.2,C14orf156,92.00,4.06,1.00,127.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001yno.1,KLC1,99.00,6.88,1.00,307.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zkh.1,THBS1,82.00,4.30,1.00,150.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zll.1,C15orf23,265.00,3.52,2.00,95.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zoh.1,MGA,1656.00,3.15,3.00,949.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc001zoh.1,MGA,9755.00,3.27,24.00,3940.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002abm.1,TMOD3,67.00,5.67,1.00,145.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002all.1,TPM1,133.00,4.86,1.00,305.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002cni.2,NDUFB10,119.00,3.12,1.00,239.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dbt.1,GSPT1,385.00,3.21,1.00,583.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dbt.1,GSPT1,2414.00,3.39,15.00,490.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dlz.1,PLK1,91.00,4.32,1.00,461.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002dtx.1,MAZ,258.00,3.48,1.00,360.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ead.1,SETD1A,93.00,3.60,1.00,671.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fcq.1,PSMD7,93.00,3.52,1.00,206.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fmx.1,ANKRD11,6639.00,4.16,9.00,6578.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002fxz.2,MYBBP1A,139.00,3.32,1.00,260.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gbo.1,NUP88,81.00,4.38,1.00,323.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gby.1,C1QBP,108.00,4.16,1.00,310.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002gmr.2,SCO1,131.00,4.02,1.00,334.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hay.1,TNFAIP1,1714.00,3.25,7.00,2644.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002haz.1,POLDIP2,104.00,3.04,1.00,208.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hby.1,SUPT6H,5514.00,4.28,37.00,793.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hdz.1,TAOK1,3818.00,4.01,20.00,1924.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002hjq.1,AP2B1,117.00,3.53,1.00,166.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002htn.1,PSMD3,88.00,3.54,1.00,384.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ihn.1,EFTUD2,3226.00,3.71,28.00,459.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ilt.1,KPNB1,143.00,4.92,1.00,376.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002jek.1,DDX5,87.00,4.00,1.00,214.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002jwf.1,TIMP2,3505.00,3.28,5.00,2888.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002mcd.1,SAFB2,215.00,4.16,1.00,398.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002moy.1,KRI1,2230.00,3.70,19.00,1197.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ndu.1,AP1M1,2157.00,3.28,12.00,928.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nhc.1,GLT25D1,73.00,3.64,1.00,272.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nvg.1,GPI,1815.00,3.12,18.00,431.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002nvk.1,UBA2,2116.00,4.52,17.00,854.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002oja.1,ACTN4,2807.00,4.16,21.00,1257.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002pmk.1,SNRNP70,1395.00,3.02,10.00,819.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002qfw.1,LENG8,2608.00,3.01,16.00,1251.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002rau.1,PDIA6,111.00,4.35,1.00,157.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002rpd.1,CRIM1,2997.00,3.03,17.00,2611.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002siz.1,CCT7,112.00,4.28,2.00,154.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002sow.1,TMSB10,328.00,3.78,3.00,287.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002svm.2,STARD7,321.00,5.46,1.00,691.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002uui.1,HSPD1,110.00,8.29,1.00,135.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002vhd.1,ARPC2,1147.00,4.27,11.00,458.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002vrn.1,PSMD1,3107.00,3.27,25.00,225.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002waz.2,HDLBP,4290.00,3.00,28.00,2424.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002wpr.1,DSTN,205.00,4.66,1.00,258.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002xpm.1,UBE2C,96.00,3.80,1.00,181.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ybx.1,PSMA7,103.00,4.05,1.00,211.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002ylz.1,APP,125.00,4.29,1.00,251.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zir.1,MCM3AP,471.00,3.57,1.00,1255.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zro.1,RANBP1,92.00,5.11,1.00,164.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc002zsq.1,MED15,2441.00,3.65,17.00,1065.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003bav.1,NHP2L1,1301.00,3.65,3.00,1263.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003bxv.1,NUP210,6925.00,4.21,40.00,1545.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003dtl.1,C3orf26,106.00,4.57,1.00,207.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ekr.1,RPN1,111.00,4.15,1.00,337.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ffe.2,GOLIM4,86.00,5.63,1.00,531.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ffe.2,GOLIM4,330.00,4.27,1.00,531.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003fnn.1,PSMD2,2828.00,3.52,21.00,345.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003fsf.1,LEPREL1,373.00,3.95,1.00,678.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003gqx.1,DHX15,120.00,5.39,1.00,239.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003hya.1,NPNT,73.00,4.97,1.00,276.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jat.1,PDCD6,107.00,4.08,1.00,201.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jdm.2,KIAA0947,5577.00,5.27,13.00,4791.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jeq.1,CCT5,219.00,3.55,1.00,276.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jff.1,TRIO,7329.00,3.06,48.00,797.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003jkl.2,NIPBL,2151.00,4.15,10.00,1626.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003kyj.1,HSPA4,2739.00,4.66,19.00,785.00,AroundStop,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003llb.2,DIAPH1,145.00,4.29,1.00,258.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003lum.1,G3BP1,1797.00,5.65,12.00,1470.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003lvp.1,LARP1,4392.00,3.36,19.00,3717.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003lzx.1,RARS,90.00,5.49,2.00,135.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ncd.1,NUP153,144.00,4.19,1.00,311.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ncr.1,DEK,113.00,5.91,1.00,184.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003nek.1,THEM2,203.00,3.09,1.00,298.00,UTR5,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003nfw.1,HIST1H1C,76.00,3.29,1.00,732.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003ngq.1,HIST1H1E,96.00,3.33,1.00,785.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003nrm.1,FLOT1,96.00,3.00,1.00,150.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003nwr.1,CLIC1,117.00,3.93,1.00,303.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003pit.1,HMGN3,126.00,3.17,1.00,193.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003qkr.1,SF3B5,584.00,3.26,1.00,737.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003qrt.2,EZR,2848.00,3.11,13.00,1338.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003qta.1,IGF2R,8859.00,3.89,48.00,1878.00,UTR3,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003sly.1,EIF3B,76.00,3.44,1.00,582.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003tia.1,MRPL32,109.00,3.29,1.00,177.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003tyc.1,BAZ1B,71.00,4.59,1.00,452.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003uyx.2,CUX1,4040.00,3.80,24.00,1653.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003wcx.1,ZYX,160.00,3.02,2.00,223.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003wff.2,PDIA4,106.00,3.64,1.00,370.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003wjo.1,ABCF2,775.00,3.19,5.00,172.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003wob.1,FAM62B,185.00,6.32,1.00,540.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003xql.1,MCM4,1787.00,4.70,11.00,366.00,CDS,HumanHEPG2HeatShockvsHumanHEPG2IFN
iduc003xql.1,MCM4,156.00,4.25,1.00,281.00,TxStart,HumanHEPG2HeatShockvsHumanHEPG2IFN
